"MgmtID","StandID","Year","Aboveground_Total_Live","Aboveground_Merch_Live","Belowground_Live","Belowground_Dead","Standing_Dead","Forest_Down_Dead_Wood","Forest_Floor","Forest_Shrub_Herb","Total_Stand_Carbon","Total_Removed_Carbon","Carbon_Released_From_Fire","RunTitle","CaseID"
"CLRC","NUL1","2021",17.7189292907715,9.05428409576416,4.10509347915649,1.48737514019012,4.04879236221313,3.97499966621399,7.03739976882935,0.310000002384186,38.6825904846191,0,0,"ClearCut","3fab5c5b-5cf2-43b0-a959-d29fc2432fa0"
"CLRC","NUL1","2022",0,0,0,5.6393575668335,3.88100028038025,12.1385307312012,7.49515008926392,0.310000002384186,29.464038848877,9.33310508728027,0,"ClearCut","3fab5c5b-5cf2-43b0-a959-d29fc2432fa0"
"CLRC","NUL1","2032",0.49057474732399,0.215722352266312,0.0757435634732246,3.65272855758667,1.98454809188843,5.67563533782959,6.22619533538818,0.310000002384186,18.4154262542725,0,0,"ClearCut","3fab5c5b-5cf2-43b0-a959-d29fc2432fa0"
"CLRC","NUL1","2042",2.5946478843689,0.572448372840881,0.550493180751801,2.36711144447327,0.373055011034012,4.14922904968262,6.22495031356812,0.310000002384186,16.5694885253906,0,0,"ClearCut","3fab5c5b-5cf2-43b0-a959-d29fc2432fa0"
"CLRC","NUL1","2052",7.45455932617188,1.19038462638855,1.88373267650604,1.54157912731171,0.0389954634010792,3.01723313331604,6.29663372039795,0.310000002384186,20.5427322387695,0,0,"ClearCut","3fab5c5b-5cf2-43b0-a959-d29fc2432fa0"
"CLRC","NUL1","2062",16.1312141418457,5.49737977981567,3.84263730049133,1.0200343132019,0.0899637117981911,2.67113018035889,6.56021785736084,0.310000002384186,30.6252002716064,0,0,"ClearCut","3fab5c5b-5cf2-43b0-a959-d29fc2432fa0"
"CLRC","NUL1","2072",27.1954574584961,13.5592937469482,6.1880087852478,0.802630722522736,0.599656105041504,3.09846591949463,6.97121524810791,0.310000002384186,45.1654319763184,0,0,"ClearCut","3fab5c5b-5cf2-43b0-a959-d29fc2432fa0"
"CLRC","NUL10","2021",35.3949279785156,23.512508392334,7.89755392074585,0.169062525033951,0.637980937957764,4.66499996185303,5.97179985046387,0.310000002384186,55.0463256835938,0,0,"ClearCut","bd5c3203-5760-4661-8f38-cf178a63a691"
"CLRC","NUL10","2022",0,0,0,8.17803478240967,0.683584034442902,15.4165840148926,6.9958233833313,0.310000002384186,31.5840263366699,23.936595916748,0,"ClearCut","bd5c3203-5760-4661-8f38-cf178a63a691"
"CLRC","NUL10","2032",0.335147440433502,0.161112070083618,0.04411755874753,5.29708242416382,0.328300178050995,5.4555606842041,5.18891859054565,0.310000002384186,16.9591274261475,0,0,"ClearCut","bd5c3203-5760-4661-8f38-cf178a63a691"
"CLRC","NUL10","2042",1.71555948257446,0.439136624336243,0.320874750614166,3.43214917182922,0.0701931640505791,2.68663454055786,5.17704010009766,0.310000002384186,13.7124509811401,0,0,"ClearCut","bd5c3203-5760-4661-8f38-cf178a63a691"
"CLRC","NUL10","2052",5.04831886291504,0.775159120559692,1.1420419216156,2.22673988342285,0.0219817981123924,1.64173913002014,5.20533561706543,0.310000002384186,15.5961580276489,0,0,"ClearCut","bd5c3203-5760-4661-8f38-cf178a63a691"
"CLRC","NUL10","2062",10.4823417663574,1.3275842666626,2.57303524017334,1.45176243782043,0.0460830368101597,1.44212675094604,5.35542106628418,0.310000002384186,21.6607704162598,0,0,"ClearCut","bd5c3203-5760-4661-8f38-cf178a63a691"
"CLRC","NUL10","2072",18.690113067627,7.98588943481445,4.16949653625488,0.955373585224152,0.0694499611854553,1.90464520454407,5.64755249023438,0.310000002384186,31.7466316223145,0,0,"ClearCut","bd5c3203-5760-4661-8f38-cf178a63a691"
"CLRC","NUL11","2021",39.0100975036621,26.0850009918213,8.61867713928223,0.486122369766235,1.69631159305573,4.66499996185303,5.97179985046387,0.310000002384186,60.7580146789551,0,0,"ClearCut","5bca9d72-61e7-49d6-b43c-aa18baf90fb1"
"CLRC","NUL11","2022",0,0,0,9.21010875701904,1.67591059207916,16.5812454223633,7.04399156570435,0.310000002384186,34.8212547302246,26.5566883087158,0,"ClearCut","5bca9d72-61e7-49d6-b43c-aa18baf90fb1"
"CLRC","NUL11","2032",0.383780300617218,0.181637912988663,0.050853356719017,5.96557807922363,0.765176355838776,6.35819530487061,5.20208358764648,0.310000002384186,19.0356674194336,0,0,"ClearCut","5bca9d72-61e7-49d6-b43c-aa18baf90fb1"
"CLRC","NUL11","2042",1.948406457901,0.484140545129776,0.36878514289856,3.86531233787537,0.079794853925705,3.48763799667358,5.20643997192383,0.310000002384186,15.2663774490356,0,0,"ClearCut","5bca9d72-61e7-49d6-b43c-aa18baf90fb1"
"CLRC","NUL11","2052",5.53107643127441,0.835494875907898,1.24997591972351,2.50774312019348,0.024446576833725,2.15535187721252,5.24919891357422,0.310000002384186,17.0277938842773,0,0,"ClearCut","5bca9d72-61e7-49d6-b43c-aa18baf90fb1"
"CLRC","NUL11","2062",11.1558132171631,1.45073509216309,2.72211241722107,1.63425886631012,0.0484083145856857,1.82697188854218,5.41885328292847,0.310000002384186,23.1164169311523,0,0,"ClearCut","5bca9d72-61e7-49d6-b43c-aa18baf90fb1"
"CLRC","NUL11","2072",19.7719535827637,8.45133781433105,4.39958572387695,1.06197655200958,0.0157901085913181,2.2394871711731,5.72632217407227,0.310000002384186,33.5251159667969,0,0,"ClearCut","5bca9d72-61e7-49d6-b43c-aa18baf90fb1"
