Region,"Softwood/
Hardwood","Saw log/
Pulpwood/
All","Year after 
production","Fraction: 
in use","Fraction: 
landfills","Fraction: 
energy","Fraction: 
emitted"
Southeast,Hardwood,Saw log,55,0.082,0.254,0.355,0.309
Southeast,Hardwood,Saw log,56,0.080,0.254,0.356,0.310
Southeast,Hardwood,Saw log,57,0.079,0.255,0.356,0.311
Southeast,Hardwood,Saw log,58,0.077,0.255,0.357,0.311
Southeast,Hardwood,Saw log,59,0.076,0.255,0.357,0.312
Southeast,Hardwood,Saw log,60,0.074,0.256,0.357,0.313
Southeast,Hardwood,Saw log,61,0.073,0.256,0.357,0.314
Southeast,Hardwood,Saw log,62,0.071,0.257,0.358,0.314
Southeast,Hardwood,Saw log,63,0.070,0.257,0.358,0.315
Southeast,Hardwood,Saw log,64,0.068,0.257,0.358,0.316
Southeast,Hardwood,Saw log,65,0.067,0.258,0.358,0.317
Southeast,Hardwood,Saw log,66,0.066,0.258,0.359,0.317
Southeast,Hardwood,Saw log,67,0.065,0.259,0.359,0.318
Southeast,Hardwood,Saw log,68,0.063,0.259,0.359,0.319
Southeast,Hardwood,Saw log,69,0.062,0.259,0.359,0.319
Southeast,Hardwood,Saw log,70,0.061,0.260,0.359,0.320
Southeast,Hardwood,Saw log,71,0.060,0.260,0.360,0.321
Southeast,Hardwood,Saw log,72,0.059,0.260,0.360,0.321
Southeast,Hardwood,Saw log,73,0.058,0.261,0.360,0.322
Southeast,Hardwood,Saw log,74,0.057,0.261,0.360,0.322
Southeast,Hardwood,Saw log,75,0.056,0.261,0.360,0.323
Southeast,Hardwood,Saw log,76,0.055,0.261,0.360,0.323
Southeast,Hardwood,Saw log,77,0.054,0.262,0.360,0.324
Southeast,Hardwood,Saw log,78,0.053,0.262,0.361,0.325
Southeast,Hardwood,Saw log,79,0.052,0.262,0.361,0.325
Southeast,Hardwood,Saw log,80,0.051,0.263,0.361,0.326
Southeast,Hardwood,Saw log,81,0.050,0.263,0.361,0.326
Southeast,Hardwood,Saw log,82,0.049,0.263,0.361,0.327
Southeast,Hardwood,Saw log,83,0.048,0.263,0.361,0.327
Southeast,Hardwood,Saw log,84,0.048,0.264,0.361,0.328
Southeast,Hardwood,Saw log,85,0.047,0.264,0.361,0.328
Southeast,Hardwood,Saw log,86,0.046,0.264,0.361,0.329
Southeast,Hardwood,Saw log,87,0.045,0.264,0.361,0.329
Southeast,Hardwood,Saw log,88,0.045,0.265,0.361,0.330
Southeast,Hardwood,Saw log,89,0.044,0.265,0.361,0.330
Southeast,Hardwood,Saw log,90,0.043,0.265,0.361,0.331
Southeast,Hardwood,Saw log,91,0.042,0.265,0.361,0.331
Southeast,Hardwood,Saw log,92,0.042,0.266,0.361,0.332
Southeast,Hardwood,Saw log,93,0.041,0.266,0.361,0.332
Southeast,Hardwood,Saw log,94,0.040,0.266,0.361,0.332
Southeast,Hardwood,Saw log,95,0.040,0.266,0.361,0.333
Southeast,Hardwood,Saw log,96,0.039,0.267,0.361,0.333
Southeast,Hardwood,Saw log,97,0.038,0.267,0.361,0.334
Southeast,Hardwood,Saw log,98,0.038,0.267,0.361,0.334
Southeast,Hardwood,Saw log,99,0.037,0.267,0.361,0.334
Southeast,Hardwood,Saw log,100,0.037,0.267,0.361,0.335
Southeast,Hardwood,Pulpwood,0,0.591,0.000,0.225,0.185
Southeast,Hardwood,Pulpwood,1,0.524,0.023,0.245,0.208
Southeast,Hardwood,Pulpwood,2,0.467,0.042,0.263,0.227
Southeast,Hardwood,Pulpwood,3,0.419,0.058,0.279,0.244
Southeast,Hardwood,Pulpwood,4,0.378,0.071,0.293,0.258
Southeast,Hardwood,Pulpwood,5,0.343,0.082,0.305,0.271
Southeast,Hardwood,Pulpwood,6,0.312,0.091,0.315,0.282
Southeast,Hardwood,Pulpwood,7,0.285,0.099,0.324,0.292
Southeast,Hardwood,Pulpwood,8,0.259,0.106,0.333,0.302
Southeast,Hardwood,Pulpwood,9,0.236,0.112,0.341,0.311
Southeast,Hardwood,Pulpwood,10,0.216,0.117,0.348,0.319
Southeast,Hardwood,Pulpwood,11,0.200,0.121,0.354,0.326
Southeast,Hardwood,Pulpwood,12,0.187,0.123,0.358,0.332
Southeast,Hardwood,Pulpwood,13,0.176,0.125,0.362,0.337
Southeast,Hardwood,Pulpwood,14,0.168,0.126,0.365,0.341
Southeast,Hardwood,Pulpwood,15,0.161,0.126,0.368,0.345
Southeast,Hardwood,Pulpwood,16,0.155,0.126,0.370,0.349
Southeast,Hardwood,Pulpwood,17,0.150,0.126,0.371,0.352
Southeast,Hardwood,Pulpwood,18,0.146,0.126,0.373,0.355
Southeast,Hardwood,Pulpwood,19,0.142,0.126,0.374,0.357
Southeast,Hardwood,Pulpwood,20,0.139,0.125,0.376,0.360
Southeast,Hardwood,Pulpwood,21,0.136,0.125,0.377,0.362
Southeast,Hardwood,Pulpwood,22,0.134,0.124,0.377,0.364
Southeast,Hardwood,Pulpwood,23,0.132,0.124,0.378,0.366
Southeast,Hardwood,Pulpwood,24,0.130,0.123,0.379,0.368
Southeast,Hardwood,Pulpwood,25,0.128,0.123,0.379,0.370
Southeast,Hardwood,Pulpwood,26,0.127,0.122,0.380,0.372
Southeast,Hardwood,Pulpwood,27,0.125,0.121,0.380,0.373
Southeast,Hardwood,Pulpwood,28,0.123,0.121,0.381,0.375
Southeast,Hardwood,Pulpwood,29,0.122,0.120,0.381,0.376
Southeast,Hardwood,Pulpwood,30,0.121,0.120,0.382,0.378
Southeast,Hardwood,Pulpwood,31,0.119,0.120,0.382,0.379
Southeast,Hardwood,Pulpwood,32,0.118,0.119,0.382,0.381
Southeast,Hardwood,Pulpwood,33,0.116,0.119,0.383,0.382
Southeast,Hardwood,Pulpwood,34,0.115,0.119,0.383,0.383
Southeast,Hardwood,Pulpwood,35,0.114,0.118,0.383,0.385
Southeast,Hardwood,Pulpwood,36,0.113,0.118,0.383,0.386
Southeast,Hardwood,Pulpwood,37,0.112,0.118,0.383,0.387
Southeast,Hardwood,Pulpwood,38,0.110,0.118,0.384,0.388
Southeast,Hardwood,Pulpwood,39,0.109,0.117,0.384,0.390
Southeast,Hardwood,Pulpwood,40,0.108,0.117,0.384,0.391
Southeast,Hardwood,Pulpwood,41,0.107,0.117,0.384,0.392
Southeast,Hardwood,Pulpwood,42,0.106,0.117,0.384,0.393
Southeast,Hardwood,Pulpwood,43,0.105,0.117,0.384,0.394
Southeast,Hardwood,Pulpwood,44,0.104,0.117,0.384,0.395
Southeast,Hardwood,Pulpwood,45,0.103,0.117,0.384,0.396
Southeast,Hardwood,Pulpwood,46,0.102,0.117,0.385,0.397
Southeast,Hardwood,Pulpwood,47,0.101,0.117,0.385,0.398
Southeast,Hardwood,Pulpwood,48,0.100,0.117,0.385,0.399
Southeast,Hardwood,Pulpwood,49,0.099,0.117,0.385,0.400
Southeast,Hardwood,Pulpwood,50,0.098,0.117,0.385,0.401
Southeast,Hardwood,Pulpwood,51,0.097,0.117,0.385,0.402
Southeast,Hardwood,Pulpwood,52,0.096,0.117,0.385,0.403
Southeast,Hardwood,Pulpwood,53,0.095,0.117,0.385,0.404
Southeast,Hardwood,Pulpwood,54,0.094,0.117,0.385,0.404
Southeast,Hardwood,Pulpwood,55,0.093,0.117,0.385,0.405
Southeast,Hardwood,Pulpwood,56,0.092,0.117,0.385,0.406
Southeast,Hardwood,Pulpwood,57,0.091,0.117,0.385,0.407
Southeast,Hardwood,Pulpwood,58,0.091,0.117,0.385,0.408
Southeast,Hardwood,Pulpwood,59,0.090,0.117,0.385,0.408
Southeast,Hardwood,Pulpwood,60,0.089,0.117,0.385,0.409
Southeast,Hardwood,Pulpwood,61,0.088,0.118,0.385,0.410
Southeast,Hardwood,Pulpwood,62,0.087,0.118,0.385,0.410
Southeast,Hardwood,Pulpwood,63,0.086,0.118,0.385,0.411
Southeast,Hardwood,Pulpwood,64,0.086,0.118,0.385,0.412
Southeast,Hardwood,Pulpwood,65,0.085,0.118,0.385,0.412
Southeast,Hardwood,Pulpwood,66,0.084,0.118,0.385,0.413
Southeast,Hardwood,Pulpwood,67,0.083,0.118,0.385,0.413
Southeast,Hardwood,Pulpwood,68,0.083,0.119,0.385,0.414
Southeast,Hardwood,Pulpwood,69,0.082,0.119,0.385,0.415
Southeast,Hardwood,Pulpwood,70,0.081,0.119,0.385,0.415
Southeast,Hardwood,Pulpwood,71,0.081,0.119,0.385,0.416
Southeast,Hardwood,Pulpwood,72,0.080,0.119,0.385,0.416
Southeast,Hardwood,Pulpwood,73,0.079,0.120,0.385,0.417
Southeast,Hardwood,Pulpwood,74,0.078,0.120,0.385,0.417
Southeast,Hardwood,Pulpwood,75,0.078,0.120,0.385,0.418
Southeast,Hardwood,Pulpwood,76,0.077,0.120,0.385,0.418
Southeast,Hardwood,Pulpwood,77,0.076,0.120,0.385,0.419
Southeast,Hardwood,Pulpwood,78,0.076,0.120,0.385,0.419
Southeast,Hardwood,Pulpwood,79,0.075,0.121,0.385,0.420
Southeast,Hardwood,Pulpwood,80,0.074,0.121,0.385,0.420
Southeast,Hardwood,Pulpwood,81,0.074,0.121,0.385,0.420
Southeast,Hardwood,Pulpwood,82,0.073,0.121,0.385,0.421
Southeast,Hardwood,Pulpwood,83,0.073,0.122,0.385,0.421
Southeast,Hardwood,Pulpwood,84,0.072,0.122,0.385,0.422
Southeast,Hardwood,Pulpwood,85,0.071,0.122,0.385,0.422
Southeast,Hardwood,Pulpwood,86,0.071,0.122,0.385,0.422
Southeast,Hardwood,Pulpwood,87,0.070,0.122,0.385,0.423
Southeast,Hardwood,Pulpwood,88,0.070,0.123,0.385,0.423
Southeast,Hardwood,Pulpwood,89,0.069,0.123,0.385,0.424
Southeast,Hardwood,Pulpwood,90,0.068,0.123,0.385,0.424
Southeast,Hardwood,Pulpwood,91,0.068,0.123,0.385,0.424
Southeast,Hardwood,Pulpwood,92,0.067,0.123,0.385,0.425
Southeast,Hardwood,Pulpwood,93,0.067,0.124,0.385,0.425
Southeast,Hardwood,Pulpwood,94,0.066,0.124,0.385,0.425
Southeast,Hardwood,Pulpwood,95,0.066,0.124,0.385,0.426
Southeast,Hardwood,Pulpwood,96,0.065,0.124,0.385,0.426
Southeast,Hardwood,Pulpwood,97,0.065,0.124,0.385,0.426
Southeast,Hardwood,Pulpwood,98,0.064,0.125,0.385,0.427
Southeast,Hardwood,Pulpwood,99,0.063,0.125,0.385,0.427
Southeast,Hardwood,Pulpwood,100,0.063,0.125,0.385,0.427
West,Hardwood,All,0,0.568,0.000,0.256,0.177
West,Hardwood,All,1,0.529,0.018,0.267,0.186
West,Hardwood,All,2,0.494,0.034,0.277,0.195
West,Hardwood,All,3,0.464,0.048,0.286,0.202
West,Hardwood,All,4,0.437,0.061,0.294,0.208
West,Hardwood,All,5,0.412,0.073,0.301,0.214
West,Hardwood,All,6,0.390,0.083,0.308,0.220
West,Hardwood,All,7,0.369,0.092,0.314,0.225
West,Hardwood,All,8,0.350,0.101,0.319,0.230
West,Hardwood,All,9,0.332,0.109,0.325,0.234
West,Hardwood,All,10,0.316,0.116,0.330,0.239
West,Hardwood,All,11,0.301,0.123,0.334,0.242
West,Hardwood,All,12,0.288,0.129,0.338,0.246
West,Hardwood,All,13,0.276,0.134,0.341,0.249
West,Hardwood,All,14,0.266,0.138,0.344,0.252
West,Hardwood,All,15,0.256,0.143,0.347,0.255
West,Hardwood,All,16,0.247,0.146,0.350,0.257
West,Hardwood,All,17,0.239,0.150,0.352,0.259
West,Hardwood,All,18,0.231,0.153,0.354,0.262
West,Hardwood,All,19,0.224,0.156,0.356,0.264
West,Hardwood,All,20,0.217,0.159,0.358,0.266
West,Hardwood,All,21,0.210,0.162,0.360,0.268
West,Hardwood,All,22,0.204,0.164,0.362,0.270
West,Hardwood,All,23,0.198,0.166,0.364,0.272
West,Hardwood,All,24,0.193,0.169,0.365,0.273
West,Hardwood,All,25,0.188,0.171,0.367,0.275
West,Hardwood,All,26,0.183,0.173,0.368,0.277
West,Hardwood,All,27,0.178,0.174,0.370,0.278
West,Hardwood,All,28,0.173,0.176,0.371,0.280
West,Hardwood,All,29,0.169,0.178,0.372,0.281
West,Hardwood,All,30,0.165,0.179,0.373,0.283
West,Hardwood,All,31,0.161,0.181,0.375,0.284
West,Hardwood,All,32,0.157,0.182,0.376,0.285
West,Hardwood,All,33,0.153,0.184,0.377,0.287
West,Hardwood,All,34,0.149,0.185,0.378,0.288
West,Hardwood,All,35,0.146,0.186,0.379,0.289
West,Hardwood,All,36,0.142,0.187,0.380,0.291
West,Hardwood,All,37,0.139,0.188,0.381,0.292
West,Hardwood,All,38,0.136,0.190,0.382,0.293
West,Hardwood,All,39,0.133,0.191,0.383,0.294
West,Hardwood,All,40,0.130,0.192,0.383,0.295
West,Hardwood,All,41,0.127,0.192,0.384,0.296
West,Hardwood,All,42,0.124,0.193,0.385,0.297
West,Hardwood,All,43,0.122,0.194,0.386,0.298
West,Hardwood,All,44,0.119,0.195,0.386,0.299
West,Hardwood,All,45,0.116,0.196,0.387,0.300
West,Hardwood,All,46,0.114,0.197,0.388,0.301
West,Hardwood,All,47,0.112,0.197,0.388,0.302
West,Hardwood,All,48,0.109,0.198,0.389,0.303
West,Hardwood,All,49,0.107,0.199,0.390,0.304
West,Hardwood,All,50,0.105,0.200,0.390,0.305
West,Hardwood,All,51,0.103,0.200,0.391,0.306
West,Hardwood,All,52,0.101,0.201,0.391,0.307
West,Hardwood,All,53,0.099,0.202,0.392,0.308
West,Hardwood,All,54,0.097,0.202,0.392,0.308
West,Hardwood,All,55,0.095,0.203,0.393,0.309
West,Hardwood,All,56,0.094,0.203,0.393,0.310
West,Hardwood,All,57,0.092,0.204,0.394,0.311
West,Hardwood,All,58,0.090,0.204,0.394,0.312
West,Hardwood,All,59,0.088,0.205,0.394,0.312
West,Hardwood,All,60,0.087,0.205,0.395,0.313
West,Hardwood,All,61,0.085,0.206,0.395,0.314
West,Hardwood,All,62,0.084,0.206,0.395,0.314
West,Hardwood,All,63,0.082,0.207,0.396,0.315
West,Hardwood,All,64,0.081,0.207,0.396,0.316
West,Hardwood,All,65,0.079,0.208,0.396,0.316
West,Hardwood,All,66,0.078,0.208,0.397,0.317
West,Hardwood,All,67,0.077,0.209,0.397,0.318
West,Hardwood,All,68,0.075,0.209,0.397,0.318
West,Hardwood,All,69,0.074,0.209,0.397,0.319
West,Hardwood,All,70,0.073,0.210,0.398,0.319
West,Hardwood,All,71,0.072,0.210,0.398,0.320
West,Hardwood,All,72,0.071,0.211,0.398,0.321
West,Hardwood,All,73,0.069,0.211,0.398,0.321
West,Hardwood,All,74,0.068,0.211,0.399,0.322
West,Hardwood,All,75,0.067,0.212,0.399,0.322
West,Hardwood,All,76,0.066,0.212,0.399,0.323
West,Hardwood,All,77,0.065,0.212,0.399,0.323
West,Hardwood,All,78,0.064,0.213,0.399,0.324
West,Hardwood,All,79,0.063,0.213,0.399,0.324
West,Hardwood,All,80,0.062,0.213,0.400,0.325
West,Hardwood,All,81,0.061,0.214,0.400,0.325
West,Hardwood,All,82,0.060,0.214,0.400,0.326
West,Hardwood,All,83,0.059,0.214,0.400,0.326
West,Hardwood,All,84,0.058,0.215,0.400,0.327
West,Hardwood,All,85,0.058,0.215,0.400,0.327
West,Hardwood,All,86,0.057,0.215,0.400,0.328
West,Hardwood,All,87,0.056,0.216,0.400,0.328
West,Hardwood,All,88,0.055,0.216,0.400,0.329
West,Hardwood,All,89,0.054,0.216,0.401,0.329
West,Hardwood,All,90,0.053,0.216,0.401,0.330
West,Hardwood,All,91,0.053,0.217,0.401,0.330
West,Hardwood,All,92,0.052,0.217,0.401,0.330
West,Hardwood,All,93,0.051,0.217,0.401,0.331
West,Hardwood,All,94,0.051,0.217,0.401,0.331
West,Hardwood,All,95,0.050,0.218,0.401,0.332
West,Hardwood,All,96,0.049,0.218,0.401,0.332
West,Hardwood,All,97,0.048,0.218,0.401,0.332
West,Hardwood,All,98,0.048,0.218,0.401,0.333
West,Hardwood,All,99,0.047,0.219,0.401,0.333
West,Hardwood,All,100,0.046,0.219,0.401,0.334
